trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-160.4165342530869,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,2,-86.76965722598814,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 2}",1
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-84.51510682779737,"{0: 19, 1: 4, 2: 6, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-63.61013667154428,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-129.55437535978663,"{0: 18, 1: 2, 2: 1, 3: 1, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-74.27060936959568,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-83.34046370375512,"{0: 13, 1: 0, 2: 4, 3: 3, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-135.0618880672155,"{0: 17, 1: 3, 2: 0, 3: 3, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-215.78988208381185,"{0: 13, 1: 2, 2: 6, 3: 0, 4: 4}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,0,-157.1460403619718,"{0: 20, 1: 1, 2: 4, 3: 3, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,3,-68.57022951551336,"{0: 10, 1: 3, 2: 3, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,0.03034766952244139,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-80.33021483273956,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,3,-5.4217814130770225,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-115.25974428560083,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-55.80461189179056,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-10.946032710207586,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,14,5.160281790088429,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,1,-160.09884378758775,"{0: 17, 1: 0, 2: 1, 3: 3, 4: 3}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,9,20.928462723072933,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,0,-189.6991329403959,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 5}",0
2,True,"{'a': 0, 'e': 0}",20,9,21.619150706074606,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",30,14,6.26777704143399,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,14,-28.720905574916934,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
5,True,"{'a': 0, 'e': 0}",20,0,-14.102204352748144,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",30,12,-40.54422453338931,"{0: 15, 1: 1, 2: 0, 3: 1, 4: 1}",1
7,True,"{'a': 0, 'e': 0}",20,5,18.564422396676264,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,10,20.90048943869629,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,10,18.542258902199624,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,0,-13.57144450042338,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
