trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 0.9900498337491681, 'a': 0.5}",25,0,-189.15810684234532,"{0: 11, 1: 2, 2: 9, 3: 1, 4: 2}",0
2,False,"{'e': 0.9801986733067553, 'a': 0.5}",20,0,-32.89408703365386,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
3,False,"{'e': 0.9704455335485082, 'a': 0.5}",20,0,-102.90410334554511,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
4,False,"{'e': 0.9607894391523232, 'a': 0.5}",20,0,-171.26234484104472,"{0: 9, 1: 4, 2: 3, 3: 1, 4: 3}",0
5,False,"{'e': 0.951229424500714, 'a': 0.5}",25,0,-129.48315671656005,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
6,False,"{'e': 0.9417645335842487, 'a': 0.5}",30,0,-127.27551938748213,"{0: 21, 1: 3, 2: 3, 3: 0, 4: 3}",0
7,False,"{'e': 0.9323938199059483, 'a': 0.5}",25,0,-90.84717779933023,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
8,False,"{'e': 0.9231163463866358, 'a': 0.5}",20,3,-123.44618473086997,"{0: 9, 1: 1, 2: 5, 3: 0, 4: 2}",1
9,False,"{'e': 0.9139311852712282, 'a': 0.5}",20,0,-33.24263912872683,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
10,False,"{'e': 0.9048374180359595, 'a': 0.5}",20,0,-131.36548944594628,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
11,False,"{'e': 0.8958341352965282, 'a': 0.5}",20,0,-104.40724160320192,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
12,False,"{'e': 0.8869204367171575, 'a': 0.5}",25,0,-114.14554545327779,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
13,False,"{'e': 0.8780954309205613, 'a': 0.5}",35,0,-101.55493527269746,"{0: 22, 1: 5, 2: 7, 3: 0, 4: 1}",0
14,False,"{'e': 0.8693582353988059, 'a': 0.5}",25,0,-31.48512435408609,"{0: 18, 1: 4, 2: 2, 3: 1, 4: 0}",0
15,False,"{'e': 0.8607079764250578, 'a': 0.5}",30,0,-111.65931276528458,"{0: 21, 1: 1, 2: 6, 3: 0, 4: 2}",0
16,False,"{'e': 0.8521437889662113, 'a': 0.5}",30,0,-59.34046809329757,"{0: 23, 1: 1, 2: 5, 3: 0, 4: 1}",0
17,False,"{'e': 0.8436648165963837, 'a': 0.5}",20,0,-115.66344824291781,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
18,False,"{'e': 0.835270211411272, 'a': 0.5}",30,0,-124.33228779098305,"{0: 21, 1: 5, 2: 1, 3: 0, 4: 3}",0
19,False,"{'e': 0.8269591339433623, 'a': 0.5}",30,22,8.26452650260782,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
20,False,"{'e': 0.8187307530779818, 'a': 0.5}",20,0,-83.73362784046846,"{0: 14, 1: 2, 2: 0, 3: 3, 4: 1}",0
21,False,"{'e': 0.8105842459701871, 'a': 0.5}",20,7,-88.69158651387852,"{0: 5, 1: 2, 2: 5, 3: 0, 4: 1}",1
22,False,"{'e': 0.8025187979624785, 'a': 0.5}",20,5,-105.98893957501767,"{0: 8, 1: 2, 2: 1, 3: 3, 4: 1}",1
23,False,"{'e': 0.794533602503334, 'a': 0.5}",25,0,-8.32614864888887,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
24,False,"{'e': 0.7866278610665535, 'a': 0.5}",25,0,-141.04350499763254,"{0: 16, 1: 1, 2: 4, 3: 2, 4: 2}",0
25,False,"{'e': 0.7788007830714049, 'a': 0.5}",25,0,-176.42236823442033,"{0: 10, 1: 4, 2: 9, 3: 0, 4: 2}",0
26,False,"{'e': 0.7710515858035663, 'a': 0.5}",25,0,-62.433839001672055,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
27,False,"{'e': 0.7633794943368531, 'a': 0.5}",20,0,-45.66923023527214,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
28,False,"{'e': 0.7557837414557255, 'a': 0.5}",30,7,-160.7885643961328,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 4}",1
29,False,"{'e': 0.7482635675785653, 'a': 0.5}",25,0,-123.70567264947688,"{0: 14, 1: 3, 2: 5, 3: 2, 4: 1}",0
30,False,"{'e': 0.7408182206817179, 'a': 0.5}",25,0,-94.24964522773583,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
31,False,"{'e': 0.7334469562242892, 'a': 0.5}",20,0,-134.92506528382975,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 2}",0
32,False,"{'e': 0.7261490370736909, 'a': 0.5}",25,17,-15.904188324410423,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 0}",1
33,False,"{'e': 0.7189237334319262, 'a': 0.5}",20,0,-22.817063215125106,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
34,False,"{'e': 0.7117703227626097, 'a': 0.5}",25,0,-28.68345500659404,"{0: 18, 1: 4, 2: 2, 3: 1, 4: 0}",0
35,False,"{'e': 0.7046880897187134, 'a': 0.5}",20,0,-58.5687810054415,"{0: 11, 1: 5, 2: 3, 3: 1, 4: 0}",0
36,False,"{'e': 0.697676326071031, 'a': 0.5}",20,0,-134.9778533857348,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 2}",0
37,False,"{'e': 0.6907343306373547, 'a': 0.5}",25,11,-131.8831064558536,"{0: 7, 1: 2, 2: 1, 3: 2, 4: 2}",1
38,False,"{'e': 0.6838614092123558, 'a': 0.5}",30,15,-8.646645862389718,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
39,False,"{'e': 0.6770568744981647, 'a': 0.5}",30,0,-119.29876479925872,"{0: 21, 1: 3, 2: 3, 3: 1, 4: 2}",0
40,False,"{'e': 0.6703200460356393, 'a': 0.5}",20,0,-0.5064339161363982,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
41,False,"{'e': 0.6636502501363194, 'a': 0.5}",20,0,-30.36791642872133,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
42,False,"{'e': 0.6570468198150567, 'a': 0.5}",30,10,-45.91654124084521,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",1
43,False,"{'e': 0.6505090947233165, 'a': 0.5}",25,5,-62.60785939416217,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",1
44,False,"{'e': 0.6440364210831414, 'a': 0.5}",20,0,-68.01728882678098,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
45,False,"{'e': 0.6376281516217733, 'a': 0.5}",20,0,-70.65497530089885,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
46,False,"{'e': 0.631283645506926, 'a': 0.5}",20,7,-72.7936493258152,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 2}",1
47,False,"{'e': 0.6250022682827008, 'a': 0.5}",20,3,-55.08173714377047,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 1}",1
48,False,"{'e': 0.6187833918061408, 'a': 0.5}",25,0,-74.07820652523151,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
49,False,"{'e': 0.6126263941844161, 'a': 0.5}",20,12,2.3360438500954706,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
50,False,"{'e': 0.6065306597126334, 'a': 0.5}",20,7,-85.9397914499398,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 2}",1
51,False,"{'e': 0.6004955788122659, 'a': 0.5}",20,0,-38.035792852789,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
52,False,"{'e': 0.5945205479701944, 'a': 0.5}",25,0,-77.70701598802937,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 2}",0
53,False,"{'e': 0.5886049696783552, 'a': 0.5}",20,0,-84.26107466041634,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
54,False,"{'e': 0.5827482523739896, 'a': 0.5}",30,0,-134.94566917799582,"{0: 18, 1: 3, 2: 5, 3: 3, 4: 1}",0
55,False,"{'e': 0.5769498103804866, 'a': 0.5}",25,0,-113.71473527569296,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
