trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-60.62154917265039,"{0: 19, 1: 4, 2: 7, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-115.86403282649972,"{0: 8, 1: 3, 2: 7, 3: 2, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-235.98701482158006,"{0: 16, 1: 5, 2: 3, 3: 2, 4: 4}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-78.76003045936444,"{0: 16, 1: 1, 2: 6, 3: 2, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-141.58333010792612,"{0: 18, 1: 4, 2: 6, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-140.56705442716915,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-155.60847169422337,"{0: 12, 1: 4, 2: 7, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-145.74403884227564,"{0: 16, 1: 3, 2: 9, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-129.31369316789153,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-166.5285610082915,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-211.47913338575063,"{0: 8, 1: 4, 2: 4, 3: 0, 4: 4}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-74.80499913747872,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-63.2903723037073,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-98.11531357204649,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,4,-66.39480125628965,"{0: 11, 1: 5, 2: 4, 3: 1, 4: 0}",1
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-55.827327405540046,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-81.6908893886184,"{0: 14, 1: 2, 2: 9, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-131.4113948170433,"{0: 17, 1: 0, 2: 5, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-175.4738877024052,"{0: 9, 1: 3, 2: 3, 3: 3, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-19.018275085345397,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-113.22508063125946,"{0: 12, 1: 4, 2: 1, 3: 1, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-84.45445782094906,"{0: 21, 1: 3, 2: 4, 3: 1, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-168.70084747714054,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-91.48061233568401,"{0: 11, 1: 8, 2: 5, 3: 1, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-140.69781161952136,"{0: 19, 1: 4, 2: 4, 3: 1, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-155.6584246917833,"{0: 16, 1: 5, 2: 5, 3: 3, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-225.54024314521962,"{0: 13, 1: 3, 2: 3, 3: 2, 4: 4}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-111.22518926204961,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-26.687980865052918,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-22.317588435452073,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
